PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355673,2020-03-25,Bagel w/ Other Spread,1.74,388,675.12,0.15,0.63,1.74,672.75
355673,2020-03-25,"Bagel w/CC, Item Only",2.49,4188,10428.12,2.37,677.15,19.92,9732.03
355673,2020-03-25,Box of 12 Bagels & Cream Cheese,12.99,17,220.83,0.05,0.0,0.0,220.83
355673,2020-03-25,Box of 6 Bagels & Cream Cheese,8.99,18,161.82,0.04,0.0,0.0,161.82
355673,2020-03-25,1.5oz Plain CC,0.99,82,81.18,0.02,0.05,0.0,81.13
355673,2020-03-25,1.5oz Strawberry CC,0.99,13,12.87,0.0,0.0,0.0,12.87
355673,2020-03-25,1.5oz Veggie CC,0.99,20,19.8,0.0,0.0,0.0,19.8
355673,2020-03-25,z-No Price 8oz Plain CC,0.0,3,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price 8oz Strawberry CC,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price 1.5oz Plain CC,0.0,2857,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price 1.5oz Strawberry CC,0.0,314,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price 1.5oz Veggie CC,0.0,294,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"12 Bagels, Item Only",9.99,4,39.96,0.01,0.5,0.0,39.46
355673,2020-03-25,"24 Bagels, Item Only",18.96,1,18.96,0.0,0.0,0.0,18.96
355673,2020-03-25,3 Bagels,3.87,4,15.48,0.0,0.19,0.0,15.29
355673,2020-03-25,"6 Bagels, Item Only",5.99,14,83.86,0.02,0.0,0.0,83.86
355673,2020-03-25,Cinnamon Raisin Bagel,1.39,49,68.11,0.02,0.28,0.0,67.83
355673,2020-03-25,Cinnamon Sugar Bagel,1.19,9,10.71,0.0,0.0,0.0,10.71
355673,2020-03-25,Everything Bagel,1.39,135,187.65,0.04,0.28,0.0,187.37
355673,2020-03-25,Multigrain Bagel,1.39,24,33.36,0.01,0.0,0.0,33.36
355673,2020-03-25,Plain Bagel,1.39,319,443.41,0.1,0.42,0.0,442.99
355673,2020-03-25,Sesame Bagel,1.39,44,61.16,0.01,0.28,0.0,60.88
355673,2020-03-25,6 Croissants,8.34,1,8.34,0.0,0.0,0.0,8.34
355673,2020-03-25,"Croissant, Plain Croissant",1.59,437,694.83,0.16,0.08,0.0,694.75
355673,2020-03-25,"English Muffin, Item Only",1.69,64,108.16,0.02,0.0,0.0,108.16
355673,2020-03-25,Multigrain Thin,1.29,3,3.87,0.0,0.0,0.0,3.87
355673,2020-03-25,Multigrain Thin w/CC,2.29,44,100.76,0.02,0.0,0.0,100.76
355673,2020-03-25,Texas Toast,0.99,3,2.97,0.0,0.0,0.0,2.97
355673,2020-03-25,"Coca-Cola Cooler Beverages, Apple Juice",1.99,431,857.69,0.19,0.7,0.0,856.99
355673,2020-03-25,"Coca-Cola Cooler Beverages, Bottled Water",1.89,831,1570.59,0.36,0.56,0.0,1570.03
355673,2020-03-25,"Coca-Cola Cooler Beverages, Coca-Cola",1.89,374,706.86,0.16,0.54,0.0,706.32
355673,2020-03-25,"Coca-Cola Cooler Beverages, Diet Coke",1.89,293,553.77,0.13,0.19,0.0,553.58
355673,2020-03-25,"Coca-Cola Cooler Beverages, Powerade Fruit Punch",2.69,49,131.81,0.03,0.0,0.0,131.81
355673,2020-03-25,"Coca-Cola Cooler Beverages, Powerade Lemon Lime",2.69,1,2.69,0.0,0.0,0.0,2.69
355673,2020-03-25,"Coca-Cola Cooler Beverages, Powerade Mountain Berry Blast",2.69,86,231.34,0.05,0.0,2.69,228.65
355673,2020-03-25,"Coca-Cola Cooler Beverages, Simply Orange Juice",2.29,983,2251.07,0.51,2.25,4.58,2244.24
355673,2020-03-25,"Coca-Cola Cooler Beverages, Sprite Lemon-Lime",1.89,158,298.62,0.07,0.66,0.0,297.96
